"word","frequency"
"speed",84997
"w",65582
"lol",60313
"the",52739
"is",43423
"ww",42105
"bratchat",37353
"you",37353
"messi",34924
"a",34847
"i",33670
"to",30494
"goalhype",30478
"lul",29596
"bro",28918
"it",22393
"twitchconhype",21791
"no",20796
"he",19112
"in",19013
"ishowspeedgang",17208
"go",17134
"u",16917
"ronaldo",16597
"yes",16414
"son",15917
"ishowspeed",15684
"on",15311
"and",15254
"for",15252
"this",14544
"www",14465
"lo",14388
"ishowspeedsg",14276
"dinodance",14119
"notlikethis",13686
"do",13505
"that",13024
"jamal",12708
"hi",12540
"1",12131
"3",12036
"yo",11737
"what",11686
"babyrage",11547
"seemsgood",11472
"me",11395
"gg",11379
"wwww",11145
"bigsad",11116
"with",10428
"67",10408
"l",10365
"my",10301
"https",10163
"chat",10107
"kai",10097
"now",9973
"not",9918
"vhagarchamp",9555
"are",9460
"game",9442
"we",9420
"wutface",9409
"wwwww",9405
"s",9328
"your",9055
"so",9028
"get",8900
"punchtrees",8693
"up",8599
"can",8572
"was",8430
"goat",8285
"play",8234
"ssssss",8122
"subscribe",7899
"its",7735
"good",7609
"wtf",7553
"pewpewpew",7303
"wave",7125
"better",7120
"of",7084
"him",7023
"just",7002
"wwwwww",6984
"like",6757
"love",6753
"kreygasm",6720
"here",6663
"2",6580
"lmao",6469
"say",6422
"they",6388
"pogchamp",6319
"stream",6248
"got",6145
"goatemotey",6095
"be",6054
"tv",6052
"why",5976
"twitch",5901
"football",5883
"green",5774
"spideythwip",5739
"subs",5694
"at",5689
"voteyea",5598
"dont",5306
"have",5275
"residentsleeper",5120
"has",5077
"subtember",5057
"huh",5033
"spid",5019
"watch",5019
"ur",4999
"0",4943
"wwwwwww",4837
"imglitch",4813
"siptime",4723
"ll",4720
"sleep",4654
"time",4633
"out",4596
"yagoo",4570
"prime",4553
"popnemo",4536
"his",4484
"o7",4467
"need",4451
"im",4437
"t",4405
"who",4360
"how",4350
"from",4338
"brazil",4296
"back",4291
"streameru2026",4287
"kappa",4241
"buy",4232
"twith",4184
"well",4169
"show",4147
"ass",4104
"man",4092
"aura",4074
"lock",4074
"gonna",4062
"please",4055
"watching",4006
"one",3999
"there",3995
"footgoal",3973
"portugal",3970
"will",3962
"5",3959
"hello",3951
"lets",3950
"she",3928
"apple",3918
"did",3916
"cr7",3902
"where",3872
"heyguys",3862
"kid",3858
"world",3797
"squid2",3763
"cmonbruh",3749
"smorc",3739
"store",3702
"jump",3697
"dans",3681
"official",3653
"merch",3645
"win",3624
"too",3602
"pls",3598
"all",3576
"see",3538
"oh",3503
"if",3482
"wwwwwwww",3466
"free",3417
"going",3374
"theilluminati",3367
"let",3359
"omg",3338
"gaypride",3326
"sub",3294
"ad",3283
"bruh",3274
"goldplz",3249
"japan",3219
"ads",3196
"make",3170
"subscribed",3168
"shit",3141
"yooo",3090
"holy",3070
"stop",3070
"damn",3062
"oooo",3050
"bad",2996
"when",2974
"her",2968
"nah",2960
"rip",2893
"trihard",2883
"spiid",2875
"first",2865
"saywallahi",2864
"or",2860
"gay",2834
"come",2820
"scuba",2796
"cup",2769
"speedvibe",2757
"give",2707
"take",2707
"degloved",2702
"know",2699
"mijo",2682
"look",2660
"4",2659
"more",2653
"cap",2628
"watchtime",2618
"hours",2606
"m",2592
"big",2582
"best",2577
"hey",2574
"10",2572
"france",2565
"streams",2544
"marlon",2523
"jinxlul",2520
"goal",2510
"d",2508
"yeah",2499
"call",2481
"way",2481
"down",2469
"yoo",2466
"wwwwwwwww",2458
"streak",2447
"hes",2441
"watched",2423
"thats",2419
"dad",2414
"vohiyo",2404
"eat",2397
"right",2397
"but",2390
"spent",2383
"woah",2377
"amazon",2361
"water",2344
"slipz",2342
"usa",2329
"yoooo",2312
"guy",2309
"crazy",2299
"skip",2291
"myavatar",2284
"help",2276
"yyjcheer",2266
"ez",2253
"consecutive",2238
"lmfao",2230
"sparked",2229
"hell",2228
"subprise",2223
"new",2217
"died",2199
"name",2181
"am",2129
"wallahi",2123
"some",2115
"guys",2112
"it's",2108
"start",2102
"off",2084
"ok",2077
"f",2047
"tier",2029
"speeed",2026
"dwerk",2016
"o",2009
"cheer1",1998
"kids",1994
"fan",1957
"bloodtrail",1937
"7",1933
"dead",1932
"said",1904
"doing",1900
"us",1899
"live",1898
"wwwwwwwwww",1894
"kappapride",1883
"rudi",1880
"daddy",1875
"ohmydog",1865
"larp",1860
"neymar",1859
"shush",1853
"beat",1845
"about",1841
"yall",1840
"them",1838
"meet",1835
"boy",1831
"saj",1817
"tf",1807
"still",1803
"killthatboy",1802
"6",1799
"i'm",1792
"song",1785
"don",1777
"than",1777
"been",1771
"cant",1771
"again",1767
"don't",1767
"discord",1760
"ishowspeedlaugh",1760
"next",1754
"ggs",1749
"gta",1743
"leak",1735
"want",1730
"backflip",1716
"dude",1714
"day",1713
"lmaooo",1705
"yt",1699
"brasil",1692
"kill",1692
"even",1690
"today",1688
"nice",1677
"wow",1670
"footyellow",1664
"only",1653
"gifted",1634
"chill",1633
"black",1625
"real",1624
"mins",1612
"dance",1610
"think",1594
"osfrog",1591
"leaked",1580
"xd",1574
"squid3",1562
"yesss",1559
"use",1558
"cooked",1556
"last",1555
"much",1547
"over",1547
"team",1543
"ahh",1538
"nooo",1537
"clap",1534
"greenapple",1534
"an",1533
"muted",1531
"votenay",1531
"put",1523
"as",1521
"then",1519
"god",1516
"run",1513
"ofc",1508
"food",1506
"glitchcat",1501
"by",1499
"whattt",1497
"playing",1494
"imtyping",1492
"girl",1490
"never",1484
"leave",1483
"noooo",1476
"fr",1474
"ai",1473
"coolcat",1473
"roblox",1469
"yess",1466
"wwwwwwwwwww",1463
"hard",1462
"audio",1454
"match",1449
"seed",1448
"ayo",1446
"should",1445
"ishowspeeddance",1431
"kfc",1428
"argentina",1427
"yea",1426
"widebe2penaldo",1425
"die",1420
"people",1415
"anotherrecord",1411
"yooooo",1402
"score",1392
"hold",1389
"tell",1361
"days",1351
"wedidthat",1351
"penaldo",1350
"easy",1340
"ome44",1338
"save",1336
"r",1333
"meat",1332
"diamond",1331
"link",1330
"lil",1328
"100",1325
"squid4",1316
"maxlol",1314
"e",1313
"left",1310
"apples",1305
"glitchlit",1305
"ending",1303
"end",1295
"keep",1295
"youtube",1294
"sped",1292
"fbtouchdown",1286
"mexico",1286
"30",1279
"let's",1276
"yyjw",1265
"fucking",1262
"would",1261
"cinema",1258
"spam",1252
"lmaoooo",1245
"wwwwwwwwwwww",1244
"red",1241
"does",1239
"squid1",1234
"bark",1226
"behind",1208
"mhm",1207
"congo",1207
"speeds",1202
"lag",1198
"iron",1197
"speeddemon",1197
"getting",1192
"try",1191
"sui",1185
"follow",1182
"y",1180
"wait",1176
"pessi",1176
"someone",1175
"wanna",1166
"rblxpip",1166
"n",1164
"mods",1159
"hit",1157
"aj",1153
"looks",1149
"gotta",1145
"powerupr",1130
"already",1127
"noo",1120
"stay",1118
"gng",1117
"jason",1116
"20",1115
"la",1112
"brother",1102
"washed",1100
"wwwwwwwwwwwww",1096
"happy",1093
"whats",1090
"check",1087
"curselit",1087
"g",1085
"rizz",1084
"jebasted",1080
"nigga",1078
"louis",1070
"norway",1066
"he's",1065
"turn",1064
"dih",1062
"yessss",1060
"lmaoo",1055
"colombia",1055
"powerupl",1053
"fat",1051
"life",1050
"boss",1046
"fight",1046
"widespeedlaugh",1046
"mbappe",1046
"komodohype",1042
"vs",1037
"mom",1035
"winning",1035
"camera",1033
"hear",1026
"gooo",1024
"celine",1019
"ewccrush",1018
"cry",1011
"elegiggle",1011
"saying",1010
"warden",1010
"henry",1007
"pixelbob",1002
"hahaha",1001
"da",999
"fake",996
"streamer",995
"gang",992
"uuh",992
"clip",989
"widespeednod",988
"break",983
"loll",983
"birthday",982
"rn",982
"fine",979
"baby",978
"same",976
"jesus",975
"tho",973
"wake",972
"aint",969
"feelsvi",969
"austria",965
"btw",964
"50",963
"tota",957
"everyone",956
"old",952
"shi",952
"haha",945
"violet",944
"cristiano",944
"money",943
"really",943
"newrecord",938
"gym",937
