"word","frequency"
"the",116321
"is",104692
"you",96418
"dantes",95635
"to",87143
"a",79104
"lol",78751
"i",72230
"it",53594
"in",47871
"he",46168
"and",43857
"this",42815
"for",41396
"on",38317
"1",35518
"that",33622
"w",33598
"u",32366
"bro",32016
"no",31623
"what",31588
"game",29895
"are",29754
"of",28304
"edm",27000
"not",26973
"gg",26588
"jynxzi",26485
"just",26416
"ww",26168
"so",25723
"do",25720
"with",24856
"like",23199
"your",23054
"get",22545
"rank",22290
"its",21811
"lo",20695
"why",20398
"play",20191
"him",20139
"can",20085
"they",19305
"my",19072
"was",18998
"2",18707
"have",18330
"up",18192
"rt",18111
"be",17825
"his",17648
"me",17100
"zyzzbass",16926
"we",16518
"good",16512
"yes",16491
"time",16174
"go",15886
"if",15459
"how",15249
"ur",14872
"at",14390
"did",14371
"watch",14281
"all",14018
"3",13737
"lmao",13589
"when",13538
"out",12975
"chat",12844
"www",12789
"s",12410
"holy",12224
"or",11617
"im",11605
"lul",11568
"but",11475
"league",11443
"dont",11270
"now",11200
"stream",11162
"fuck",11154
"com",11119
"wtf",10879
"shit",10627
"one",10450
"got",10340
"l",9974
"arise",9846
"jiddy",9789
"subscribed",9782
"youtube",9702
"https",9633
"more",9527
"cte",9385
"67",8977
"wins",8942
"gamble",8902
"today",8768
"hes",8723
"has",8719
"son",8660
"day",8590
"need",8581
"5",8504
"lp",8498
"will",8319
"doaenemuzz",8296
"too",8293
"oooo",8289
"challenger",8195
"about",8184
"know",8094
"another",8073
"10",8047
"there",8000
"think",7993
"would",7900
"oh",7894
"back",7787
"tier",7714
"0",7490
"bronze",7453
"from",7449
"song",7375
"here",7374
"bad",7312
"as",7288
"does",7225
"yo",7129
"gonna",7070
"4",6977
"who",6971
"see",6919
"man",6847
"aura",6789
"playing",6707
"better",6703
"fucking",6698
"please",6662
"coach",6657
"discord",6643
"mooda",6410
"win",6377
"sub",6363
"stop",6331
"thats",6304
"winrate",6291
"doaenel",6283
"even",6247
"gifted",6183
"ass",6168
"make",6160
"them",6119
"still",6035
"right",6032
"it's",6026
"mijo",6026
"only",5989
"silver",5977
"yeah",5972
"cant",5944
"yi",5926
"ll",5855
"true",5837
"xd",5823
"faker",5809
"am",5774
"going",5761
"q",5747
"should",5711
"use",5680
"off",5670
"real",5626
"team",5612
"guy",5599
"nice",5585
"love",5516
"huh",5490
"an",5476
"actually",5433
"hivise",5408
"na",5404
"gold",5324
"way",5284
"t",5260
"7",5233
"check",5189
"give",5167
"tell",5144
"grandmaster",5134
"never",5108
"games",5096
"doing",5033
"look",4987
"jorkin",4972
"dude",4968
"guys",4906
"then",4890
"than",4867
"top",4857
"op",4856
"getting",4850
"prime",4750
"say",4718
"6",4708
"some",4699
"where",4583
"call",4566
"content",4565
"first",4498
"mvp",4469
"streak",4461
"again",4423
"ravetime",4378
"btw",4369
"wait",4349
"want",4349
"people",4348
"watching",4330
"hold",4310
"best",4279
"hard",4254
"ask",4252
"28",4235
"music",4232
"big",4230
"take",4227
"by",4194
"degloved",4159
"tab",4145
"badge",4132
"they've",4128
"let",4118
"much",4116
"kekw",4096
"months",4096
"dinodance",4051
"hecarim",4046
"currently",4042
"wr",4040
"dante",4039
"100",4018
"dancin",4001
"been",3981
"min",3954
"new",3948
"omg",3947
"after",3920
"playlist",3915
"over",3912
"said",3885
"banger",3857
"tho",3846
"summoners",3819
"lock",3811
"down",3796
"nah",3796
"grind",3769
"free",3768
"sleep",3755
"he's",3737
"same",3735
"wake",3723
"video",3686
"classic",3677
"crazy",3670
"next",3598
"put",3588
"ig",3573
"pls",3562
"rn",3546
"mods",3535
"master",3495
"d",3493
"larp",3478
"8",3450
"channel",3444
"50",3424
"extra",3420
"because",3409
"start",3408
"lets",3405
"hit",3400
"try",3398
"keep",3389
"into",3388
"ok",3380
"live",3369
"had",3369
"doaeneexplain",3348
"jungle",3333
"ever",3330
"mid",3315
"hi",3296
"mogged",3254
"gay",3252
"gigachad",3244
"she",3244
"already",3230
"last",3226
"cinema",3221
"xdd",3210
"every",3193
"v",3184
"hours",3179
"humzh",3174
"didnt",3171
"en",3163
"stories",3162
"instagram",3158
"r",3155
"you're",3137
"us",3135
"hl",3122
"damn",3114
"really",3110
"kill",3104
"lmfao",3086
"tf",3083
"join",3067
"aware",3064
"goat",3026
"doesnt",3010
"were",3007
"always",2999
"retard",2989
"don't",2974
"streamer",2964
"30",2964
"riot",2939
"end",2938
"mean",2936
"whats",2936
"twitch",2890
"turn",2884
"these",2880
"iron",2876
"god",2870
"her",2867
"champ",2862
"ez",2860
"doaenespin",2855
"streams",2855
"ads",2852
"apology",2851
"listening",2839
"someone",2838
"queue",2837
"wrong",2821
"needs",2820
"lost",2820
"i'm",2815
"other",2809
"boy",2806
"diamond",2802
"build",2779
"life",2779
"literally",2775
"junko",2763
"looks",2762
"los",2756
"lose",2754
"ta",2740
"could",2735
"11",2731
"opgg",2731
"brother",2730
"27",2717
"kiss",2712
"before",2707
"delay",2702
"9",2697
"hahadoge",2675
"dans",2672
"flash",2657
