"word","frequency"
"lol",556762
"ww",209291
"the",193381
"a",136462
"lmfao",133313
"you",128723
"son",125629
"is",123433
"to",111454
"sob",110810
"he",107496
"gg",106646
"it",103103
"u",99709
"jason",91983
"bro",88814
"i",87302
"w",85176
"that",76442
"in",72541
"lo",71962
"go",67458
"we",66858
"this",63508
"no",63346
"not",60321
"on",59796
"and",58925
"for",58313
"mmm",57013
"lmao",53955
"rt",49710
"geeg",48708
"just",47667
"what",47304
"get",45607
"so",43403
"good",42180
"do",41793
"its",40664
"ur",39942
"fairs",39063
"they",39038
"hah",38967
"shit",38589
"uuh",38464
"s",38187
"taw",37604
"got",36484
"like",36060
"up",36005
"saj",35941
"yo",35185
"stream",34843
"him",34530
"of",34178
"chat",33716
"with",33239
"are",32186
"focus",32049
"wtf",31834
"was",31573
"ouu",30589
"your",30303
"pfft",30080
"me",30065
"1",29747
"ass",29201
"be",28997
"bang",28921
"why",28877
"wow",28673
"at",28384
"omg",28070
"ok",27720
"yes",27616
"his",27016
"dont",26755
"oop",26332
"she",25810
"oooo",25615
"ayy",25283
"ron",25154
"hold",24977
"fuck",24799
"rofl",24577
"3",24466
"can",24248
"ll",24041
"l",23759
"www",23549
"jasontheween",23374
"o",23327
"mhm",23112
"out",22981
"lacy",22839
"my",22619
"jawhn",22602
"back",22601
"holy",22123
"aura",22108
"t",22099
"larp",21952
"lul",21630
"did",21131
"damn",20598
"one",20498
"yugi",20430
"oh",19982
"love",19934
"randomkid",19890
"all",19826
"marlon",19224
"cap",18684
"ybg",18521
"5",18482
"who",18431
"too",18408
"thats",18302
"2",18091
"there",18071
"how",18055
"jasont2cry",18025
"lmaooo",17881
"watch",17874
"now",17824
"kai",17570
"im",17281
"nabs",16944
"nah",16879
"time",16736
"have",16688
"her",16445
"gonna",16376
"subscribed",16332
"whattt",16154
"hes",15832
"jay",15394
"man",15198
"evil",15125
"streameru2026",15088
"know",15024
"yall",14956
"ono",14952
"ome44",14756
"caught",14683
"off",14517
"said",14433
"noway",14262
"piece",14259
"going",14217
"here",14156
"call",14136
"jasont2nms3",14074
"classic",14004
"bad",13836
"need",13671
"ofc",13595
"mijo",13591
"if",13433
"look",13406
"huh",13352
"streak",13247
"coming",13206
"omgbruh",13118
"silky",12980
"ew",12916
"shi",12893
"usa",12775
"stop",12676
"haskell",12662
"omecheer",12612
"game",12595
"say",12440
"where",12341
"resident",12295
"wedidit",12121
"even",12103
"but",11947
"ig",11926
"play",11786
"more",11779
"please",11461
"lmaoooo",11442
"o7",11416
"sped",11305
"better",11210
"take",11122
"lmaoo",11090
"about",11019
"run",10955
"d1",10944
"streams",10878
"or",10877
"gang",10798
"aga",10767
"fucking",10740
"arky",10714
"them",10645
"wwww",10638
"ask",10572
"10",10524
"getting",10515
"still",10432
"right",10409
"make",10357
"clip",10333
"from",10252
"ohshit",10213
"max",10201
"watched",10194
"woah",10123
"let",10119
"tell",10098
"see",10036
"tf",9993
"party",9987
"lmfaooo",9932
"when",9872
"core",9836
"room",9801
"team",9717
"f",9618
"guy",9583
"sparked",9505
"consecutive",9476
"ewww",9422
"has",9365
"don",9343
"some",9318
"tier",9225
"doing",9216
"dub",9161
"kid",9014
"streamer",8934
"as",8932
"big",8899
"bruh",8892
"fake",8817
"dude",8806
"ngl",8749
